"Geslacht";"Leeftijd";"Perioden";"Regio's";"Bevolking (aantal)";"Onderwijsniveau 5 categorieën/11 Basisonderwijs (%)";"Onderwijsniveau 5 categorieën/12 Vmbo, havo-, vwo-onderbouw, mbo1 (%)";"Onderwijsniveau 5 categorieën/21 Havo, vwo, mbo2-4 (%)";"Onderwijsniveau 5 categorieën/31 Hbo-, wo-bachelor (%)";"Onderwijsniveau 5 categorieën/32 Hbo-, wo-master, doctor (%)"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2023*";"Groningen (PV)";"  463400";"     7.4";"    16.3";"    45.1";"    20.0";"    11.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2023*";"Fryslân (PV)";"  490200";"     7.8";"    19.1";"    47.0";"    19.7";"     6.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2023*";"Drenthe (PV)";"  372300";"     8.4";"    18.9";"    46.5";"    18.7";"     7.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2023*";"Overijssel (PV)";"  887800";"     8.2";"    18.1";"    44.9";"    20.3";"     8.5"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2023*";"Flevoland (PV)";"  341000";"     8.6";"    18.5";"    45.6";"    19.6";"     7.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2023*";"Gelderland (PV)";" 1608800";"     8.4";"    18.1";"    42.3";"    20.1";"    11.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2023*";"Utrecht (PV)";" 1050800";"     7.6";"    15.0";"    36.1";"    22.2";"    19.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2023*";"Noord-Holland (PV)";" 2266800";"     8.3";"    15.7";"    37.7";"    21.6";"    16.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2023*";"Zuid-Holland (PV)";" 2885900";"    10.0";"    17.5";"    40.0";"    19.4";"    13.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2023*";"Zeeland (PV)";"  286100";"     8.8";"    20.0";"    47.1";"    17.6";"     6.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2023*";"Noord-Brabant (PV)";" 1993600";"     8.8";"    18.0";"    41.7";"    20.8";"    10.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2023*";"Limburg (PV)";"  856500";"    10.2";"    19.1";"    43.0";"    19.0";"     8.8"