"Regio's"           , "Marges", "Perioden", "Online criminaliteit Totaal slachtoffers (%)", "Online oplichting en fraude Totaal slachtoffers (%)", "Online oplichting en fraude Aankoopfraude
                                                                                                                                                   Totaal slachtoffers (%)"                  , "Verkoopfraude Totaal slachtoffers (%)", "Fraude betalingsverkeer Totaal slachtoffers (%)", "Identiteitsfraude Totaal slachtoffers (%)", "Phishing Totaal slachtoffers (%)", "Hacken Totaal slachtoffers (%)", "Hacken Apparaat
                                                                                                                                                                                                                                                                                                                                                                                                              Totaal slachtoffers (%)", "Account Totaal slachtoffers (%)", "Online bedreiging en intimidatie Totaal slachtoffers (%)", "Online bedreiging en intimidatie Online bedreiging
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Totaal slachtoffers (%)"                           , "Online pesten Totaal slachtoffers (%)", "Online stalking Totaal slachtoffers (%)", "Shamesexting Totaal slachtoffers (%)", "Overige online delicten Totaal slachtoffers (%)"
"Nederland"         , "Waarde", "2023"    , "15,6"                                        , "9,3"                                                , "6,9"                                     , "1,4"                                  , "1,1"                                            , "0,8"                                      , "0,8"                             , "5,5"                           , "2,4"                   , "4,5"                            , "2,5"                                                     , "0,9"                                              , "0,9"                                  , "0,8"                                    , "0,4"                                 , "0,5"
"Groningen (PV)"    , "Waarde", "2023"    , "16,3"                                        , "8,6"                                                , "6,5"                                     , "1,4"                                  , "1,0"                                            , "0,6"                                      , "1,0"                             , "6,3"                           , "2,7"                   , "4,8"                            , "3,0"                                                     , "1,3"                                              , "1,1"                                  , "0,6"                                    , "0,3"                                 , "0,3"
"Fryslân (PV)"      , "Waarde", "2023"    , "14,2"                                        , "8,5"                                                , "6,7"                                     , "1,3"                                  , "0,8"                                            , "0,6"                                      , "0,6"                             , "5,0"                           , "2,3"                   , "3,7"                            , "2,5"                                                     , "1,0"                                              , "0,8"                                  , "0,8"                                    , "0,3"                                 , "0,3"
"Drenthe (PV)"      , "Waarde", "2023"    , "14,8"                                        , "8,8"                                                , "6,6"                                     , "1,7"                                  , "1,4"                                            , "0,6"                                      , "1,0"                             , "5,9"                           , "2,8"                   , "4,9"                            , "2,2"                                                     , "0,8"                                              , "0,9"                                  , "0,8"                                    , "0,3"                                 , "0,4"
"Overijssel (PV)"   , "Waarde", "2023"    , "14,8"                                        , "9,0"                                                , "6,8"                                     , "1,3"                                  , "0,8"                                            , "0,6"                                      , "0,6"                             , "5,4"                           , "2,3"                   , "4,3"                            , "2,2"                                                     , "0,8"                                              , "0,9"                                  , "0,6"                                    , "0,3"                                 , "0,4"
"Flevoland (PV)"    , "Waarde", "2023"    , "16,9"                                        , "10,1"                                               , "7,6"                                     , "1,7"                                  , "1,0"                                            , "0,8"                                      , "0,9"                             , "5,5"                           , "2,8"                   , "4,5"                            , "2,5"                                                     , "0,8"                                              , "1,0"                                  , "0,7"                                    , "0,5"                                 , "0,7"
"Gelderland (PV)"   , "Waarde", "2023"    , "14,7"                                        , "8,4"                                                , "6,3"                                     , "1,2"                                  , "0,8"                                            , "0,6"                                      , "0,7"                             , "5,3"                           , "2,2"                   , "4,4"                            , "2,3"                                                     , "0,9"                                              , "0,7"                                  , "0,7"                                    , "0,5"                                 , "0,4"
"Utrecht (PV)"      , "Waarde", "2023"    , "15,0"                                        , "9,0"                                                , "6,7"                                     , "1,4"                                  , "1,2"                                            , "0,8"                                      , "0,7"                             , "5,4"                           , "2,1"                   , "4,5"                            , "2,3"                                                     , "0,9"                                              , "1,0"                                  , "0,7"                                    , "0,2"                                 , "0,5"
"Noord-Holland (PV)", "Waarde", "2023"    , "16,9"                                        , "10,0"                                               , "7,5"                                     , "1,5"                                  , "1,3"                                            , "0,7"                                      , "0,9"                             , "5,8"                           , "2,4"                   , "4,7"                            , "2,9"                                                     , "1,0"                                              , "1,1"                                  , "1,0"                                    , "0,5"                                 , "0,7"
"Zuid-Holland (PV)" , "Waarde", "2023"    , "15,8"                                        , "9,5"                                                , "6,9"                                     , "1,4"                                  , "1,1"                                            , "0,8"                                      , "0,9"                             , "5,5"                           , "2,3"                   , "4,6"                            , "2,5"                                                     , "0,8"                                              , "0,9"                                  , "0,9"                                    , "0,5"                                 , "0,5"
"Zeeland (PV)"      , "Waarde", "2023"    , "15,8"                                        , "9,8"                                                , "7,4"                                     , "1,8"                                  , "0,9"                                            , "0,7"                                      , "1,0"                             , "5,5"                           , "2,4"                   , "4,6"                            , "2,1"                                                     , "0,9"                                              , "0,6"                                  , "0,9"                                    , "0,3"                                 , "0,7"
"Noord-Brabant (PV)", "Waarde", "2023"    , "15,6"                                        , "9,6"                                                , "6,9"                                     , "1,4"                                  , "1,1"                                            , "1,1"                                      , "0,9"                             , "5,2"                           , "2,5"                   , "4,0"                            , "2,3"                                                     , "0,9"                                              , "0,7"                                  , "0,7"                                    , "0,6"                                 , "0,6"
"Limburg (PV)"      , "Waarde", "2023"    , "15,6"                                        , "8,8"                                                , "6,8"                                     , "1,4"                                  , "1,1"                                            , "0,6"                                      , "0,8"                             , "6,0"                           , "3,3"                   , "4,9"                            , "2,5"                                                     , "0,8"                                              , "1,1"                                  , "1,0"                                    , "0,4"                                 , "0,4"